"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"W04A4.2",159.785667841421,2.43470470203906,0.492395655596057,4.94461044562181,7.62962766037866e-07,0.000155793828736576
"W04A4.3",0.160614732112739,0,6.0975439140757,0,1,NA
"clpr-1",1.55547598822677,-0.240574735612324,1.56284606237051,-0.15393373756045,0.877661982401688,NA
"ints-4",244.692137399561,-0.0426661456435895,0.356766812985179,-0.11959112812817,0.904807048010942,0.970898672669038
"W04A4.6",27.0632217450585,-0.42402097223973,0.507610657889214,-0.835327165908862,0.403533525912537,0.690363121693991
"W04A8.1",90.6540928882839,-0.763109417462844,0.302763172608686,-2.52048295995743,0.011719391243467,0.0830424534734656
"W04A8.2",77.5094625871251,-3.02622828475225,0.872143487044198,-3.46987431507229,0.000520701960631122,0.012008010026738
"W04A8.3",39.1354405764961,-2.46521641210453,0.789978730708683,-3.12061112062221,0.00180476192218861,0.0258864683666171
"W04A8.4",2141.89280232784,-2.80773215760802,0.816559702159144,-3.43848973955466,0.000584968705394422,0.012863880774728
"W04A8.5",52.6112946265169,-1.45524899615478,0.660877402680125,-2.20199539317452,0.0276656338854943,0.143800587917048
"W04A8.6",211.85859119567,-0.187226941316426,0.338368701235267,-0.553322280201818,0.580042747227807,0.816464581836024
"srt-39",0.82328732477704,1.94366699661073,2.44396622553109,0.795292085588605,0.426443616274175,NA
"W04D2.4",320.153902669495,-0.303912322083502,0.240103538406153,-1.26575528249572,0.205600709331332,0.479426975634915
"mrps-11",200.074477245137,-0.719265155035928,0.392024617593831,-1.83474486742857,0.0665435009658743,0.245408761013159
"rbm-25",719.009937750542,-0.253503821107001,0.251434941575908,-1.00822828966462,0.313344879822559,0.606612101439031
"fbxa-131",0.127269779750564,0,6.09753866054323,0,1,NA
"W04E12.2",8.93682482571592,-0.921311501989674,0.661514507410024,-1.39273060782418,0.163701269246974,0.423122485640541
"W04E12.3",0.348942043752119,-0.284096230138745,4.50563719238455,-0.0630535078631998,0.949723895937002,NA
"W04E12.4",2.42064713362509,3.10496021656954,2.13027097275845,1.45754237666252,0.144966722664905,0.393789847396263
"W04E12.5",4.62219817205442,2.35705964914338,1.53318571599427,1.53736081973268,0.124204975350793,0.35897554406336
"clec-49",194.501269211796,0.703924675946799,0.756957315953325,0.929939721977935,0.352402294979912,0.643805911531724
"W04E12.7",26.3173484305783,1.77219296836752,0.52988900246535,3.34446074578309,0.000824426954974969,0.0158159518624038
"clec-50",1195.07138873052,-0.172501119473858,0.881660807563867,-0.195654743858354,0.844880408858826,0.951627313831804
"W04E12.9",1.38396393064378,0.341167184924716,2.55893548453543,0.133323871190388,0.893937249644213,NA
"lpr-6",46.6166984367521,-0.817446343243333,0.777580385863905,-1.05126924251714,0.293134949213336,0.585414727241515
"lpr-5",35.5737300687165,0.320815233404991,0.768935624066995,0.417219885987542,0.676517581001994,0.873556421664517
"lpr-4",6.06245332895764,1.80494395070281,1.18913298763987,1.51786551164909,0.129048305828565,0.367717813875827
"W04G3.5",194.705831607576,-0.483014635878684,0.251295140965745,-1.92210097665408,0.0545930532178278,0.216712333111037
"sulp-7",20.0183289251212,0.235032446175802,0.610648193515858,0.384890103125636,0.700318838687899,0.885127423148414
"W04G3.7",0.325301298681983,0,6.09742059343317,0,1,NA
"lpr-3",32.828898474582,-1.93922450044505,0.757412806567359,-2.56032705498304,0.0104573698047905,0.0779108828478232
"W04G5.3",0.398259300728671,-0.963919726305132,3.77507103249212,-0.255338169271162,0.798461921905807,NA
"W04G5.4",0.434462165979332,0,3.821574089181,0,1,NA
"W04G5.5",0.435094472083936,-0.000928876405333501,3.75018213922402,-0.00024768834441884,0.999802373296118,NA
"W04G5.7",21.528855230018,-1.87178358675007,1.4951880375953,-1.2518716975294,0.210616619257216,0.485818366795005
"W04G5.8",45.5239678016431,-0.89208184050675,0.986792647867712,-0.904021571739903,0.365983963001847,0.655878652058385
"W04G5.9",0.959928077901777,-0.741348233360939,2.69323407704144,-0.275263201101079,0.783114034056484,NA
"W04G5.10",1.17637185027705,0,2.92105320151392,0,1,NA
"W05B2.2",2.86592164564029,-1.27405006382763,1.83751131660192,-0.693356308783835,0.48808597394268,0.756864902525498
"dhc-4",5.83181782032802,1.42253078120287,0.861080921715058,1.65202914770141,0.0985286090684835,0.312632889593501
"W05B5.1",22.2631619061162,0.584410755345507,0.622319647606994,0.939084532511133,0.347687344980362,0.63991606916632
"npr-14",0.682831813521697,0.969263210679977,2.42588794193909,0.399549869523327,0.689488085844726,NA
"his-74",1334.39457793772,-0.114773472691604,0.466457643102526,-0.246053364949103,0.805640922764858,0.934345117182913
"ccch-3",251.682832992148,-0.173869480251198,0.301355467244331,-0.576958108114327,0.563967755142215,0.805333415129609
"W05B10.3",7.32742801989226,-0.149971634559585,1.06775099992222,-0.140455625488068,0.888300010597423,0.964916698456702
"W05B10.4",18.4947667648244,0.427855973776419,0.647773204714779,0.660502735621503,0.508931263546161,0.769359987769011
"W05E10.1",24.2098717891631,-0.586063608335949,0.455542894072732,-1.28651684827374,0.19826274265381,0.46956071074744
"W05E10.2",3.15958585089254,0.0979966727111837,1.10571694372084,0.0886272687306533,0.929378136043138,0.979284371741946
"W05E10.5",4.64665883220934,1.08455120379433,1.20797842732721,0.897823321393268,0.369279749284687,0.658673356593093
"W05H5.1",0.970120384957739,-0.357479724674403,1.85092545281753,-0.193135668500445,0.846852719081574,NA
"W05H5.2",0.900390138574387,0.435686610576708,1.96895650246413,0.221277925658312,0.824876036756828,NA
"pitr-6",3.16437842043487,1.58255078099173,1.17652775754369,1.34510280003569,0.178592039122153,0.443165908513084
"sre-35",0.213986442994924,0,6.09728899319115,0,1,NA
"sre-33",0.531327192764269,1.91397943474746,2.90549457610883,0.658744797008277,0.510059661287165,NA
"sre-32",1.92509215502488,-2.20033344137168,2.05149740455809,-1.07254995131015,0.283473090610471,NA
"W05H12.1",54.1358268233262,-0.54373094760695,0.653329672510341,-0.832245909661088,0.405270154982286,0.691711800638825
"W05H12.2",1.45281103287873,1.08092164930738,2.21238952862128,0.488576552783175,0.62514151632297,NA
"W06A7.2",53.5604051245704,1.1516007158193,0.668444253191999,1.72280741485936,0.0849233574514623,0.28631846073662
"C11E4.t1",0.193858984872869,-0.81175673889805,6.09505764234129,-0.133182782925451,0.894048826775141,NA
"W06A7.4",18.9228377620867,1.14583817838803,0.868722418755418,1.31899229679098,0.187171687779409,0.454991021121591
"nspa-8",450.393686803567,2.57305558704059,0.870272943794939,2.95660758545526,0.00311043698012868,0.0363306121270169
"nmat-1",15.8679751274902,-0.103082945540337,0.557901172211643,-0.184769186147599,0.853410077571837,0.953652233451254
"spe-46",46.0738653363015,2.03196991838326,0.615568890451792,3.3009626540612,0.000963537071556488,0.017537220838066
