"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"21ur-6932",0,NA,NA,NA,NA,NA
"21ur-7934",0,NA,NA,NA,NA,NA
"21ur-11287",0.0844236576220094,-0.778621344300435,6.3065612048932,-0.123462108588799,0.901741177650202,NA
"21ur-10869",0,NA,NA,NA,NA,NA
"21ur-8298",0.0483634711052207,-0.832030096578703,6.30704365141667,-0.131920776605346,0.89504695489641,NA
"21ur-13305",0,NA,NA,NA,NA,NA
"21ur-14938",0,NA,NA,NA,NA,NA
"21ur-14446",0,NA,NA,NA,NA,NA
"21ur-14230",0,NA,NA,NA,NA,NA
"21ur-6839",0.718772587379603,-1.67926656295583,3.00396957317631,-0.559015836229066,0.576150912426984,NA
"21ur-8984",0,NA,NA,NA,NA,NA
"21ur-12518",0,NA,NA,NA,NA,NA
"21ur-6500",0.0748519295061007,0,6.3118510749072,0,1,NA
"21ur-13590",0,NA,NA,NA,NA,NA
"21ur-5770",0,NA,NA,NA,NA,NA
"21ur-6368",0.0483634711052207,-0.832030096578703,6.30704365141667,-0.131920776605346,0.89504695489641,NA
"21ur-15027",0,NA,NA,NA,NA,NA
"21ur-6192",0,NA,NA,NA,NA,NA
"21ur-15064",0,NA,NA,NA,NA,NA
"21ur-11344",0.180174326577675,0,6.31140415453286,0,1,NA
"21ur-9045",0,NA,NA,NA,NA,NA
"21ur-9752",0,NA,NA,NA,NA,NA
"21ur-7042",1.21878916659378,1.25284492949285,2.00489286601275,0.624893704163088,0.532040824704301,NA
"21ur-11980",0,NA,NA,NA,NA,NA
"21ur-13122",0,NA,NA,NA,NA,NA
"21ur-6374",0,NA,NA,NA,NA,NA
"21ur-8173",0,NA,NA,NA,NA,NA
"21ur-9140",0,NA,NA,NA,NA,NA
"21ur-10560",0.0662527843498598,0,6.31108966389236,0,1,NA
"21ur-11602",0.173150517435592,0.987467962240147,6.30047787144884,0.156729058079061,0.875458385052204,NA
"21ur-10367",0,NA,NA,NA,NA,NA
"21ur-10214",0,NA,NA,NA,NA,NA
